Timestamp,Latency
0,0.03942680358886719
1,0.0024089813232421875
2,0.0025000572204589844
3,0.002552032470703125
4,0.0022211074829101562
5,0.002418994903564453
6,0.0023088455200195312
7,0.002302885055541992
8,0.0020689964294433594
9,0.001978158950805664
10,0.0024421215057373047
11,0.0021638870239257812
12,0.002149820327758789
13,0.003253936767578125
14,0.003773212432861328
15,0.002274036407470703
16,0.0023729801177978516
17,0.002346038818359375
18,0.002192974090576172
19,0.0020380020141601562
20,0.002274036407470703
21,0.002109050750732422
22,0.0020978450775146484
23,0.0022041797637939453
24,0.002306699752807617
25,0.0020401477813720703
26,0.001966238021850586
27,0.001837015151977539
28,0.0036537647247314453
29,0.002008199691772461
30,0.0022878646850585938
31,0.0037822723388671875
32,0.0019638538360595703
33,0.006069183349609375
34,0.002216815948486328
35,0.002563953399658203
36,0.0031578540802001953
37,0.002039194107055664
38,0.0020449161529541016
39,0.0017368793487548828
40,0.002421140670776367
41,0.0018107891082763672
42,0.0018050670623779297
43,0.0017490386962890625
44,0.0021181106567382812
45,0.001798868179321289
46,0.0019707679748535156
47,0.0017971992492675781
48,0.0019788742065429688
49,0.0023212432861328125
50,0.0018346309661865234
51,0.0017232894897460938
52,0.0018439292907714844
53,0.0025730133056640625
54,0.002023935317993164
55,0.0018291473388671875
56,0.0019588470458984375
57,0.002315044403076172
58,0.0019049644470214844
59,0.0018270015716552734
60,0.0018649101257324219
61,0.002162933349609375
62,0.0018260478973388672
63,0.0018439292907714844
64,0.0019462108612060547
65,0.0021851062774658203
66,0.0019948482513427734
67,0.0018420219421386719
68,0.001886129379272461
69,0.002125978469848633
70,0.0022859573364257812
71,0.0020210742950439453
72,0.0017888545989990234
73,0.0018689632415771484
74,0.004281282424926758
75,0.0019609928131103516
76,0.0019519329071044922
77,0.0022368431091308594
78,0.0020012855529785156
79,0.0017979145050048828
80,0.0024781227111816406
81,0.004004955291748047
82,0.001958131790161133
83,0.0018548965454101562
84,0.0022459030151367188
85,0.0019991397857666016
86,0.0019321441650390625
87,0.001714944839477539
88,0.0020308494567871094
89,0.0019240379333496094
90,0.0017390251159667969
91,0.001924753189086914
92,0.002076387405395508
93,0.0021338462829589844
94,0.0019028186798095703
95,0.0018513202667236328
96,0.0018749237060546875
97,0.002257823944091797
98,0.0019519329071044922
99,0.0023012161254882812
